"project_id";"questions_main";"questions_details";"result (yes =1/ no = 0)";"detail";"source"
;"Tốc độ tăng trưởng kép hàng năm (CAGR) của lĩnh vực dự án hoạt động có được dự báo > 20% không?";"Tốc độ tăng trưởng kép hàng năm (CAGR) của lĩnh vực dự án hoạt động có được dự báo > 20% không?";;;
;"Tổng thị trường có thể tiếp cận (TAM) của ngách dự án có lớn hơn $10 tỷ USD không?";"Tổng thị trường có thể tiếp cận (TAM) của ngách dự án có lớn hơn $10 tỷ USD không?";;;
;"Dự án có đang giải quyết một vấn đề cốt lõi & lâu dài (Kg chạy theo ""trend"" nhất thời của thị trường) không ?";"Dự án có đang giải quyết một vấn đề cốt lõi & lâu dài (Kg chạy theo ""trend"" nhất thời của thị trường) không ?";;;
;"Giải pháp của dự án có mang lại một lợi ích vượt trội ít nhất 5-10 lần (về tốc độ, chi phí, hoặc sự tiện lợi) so với giải pháp hiện có không?";"Giải pháp của dự án có mang lại một lợi ích vượt trội ít nhất 5-10 lần (về tốc độ, chi phí, hoặc sự tiện lợi) so với giải pháp hiện có không?";;;
;"Dự án có nằm trong nhóm lĩnh vực được dự báo sẽ tăng trưởng mạnh trong 6-18 tháng tới không?";"Dự án có nằm trong nhóm lĩnh vực được dự báo sẽ tăng trưởng mạnh trong 6-18 tháng tới không?";;;
;"Sản phẩm đã mainet & có lượng người dùng hàng tháng tối thiểu 10.000 chưa ?";"Sản phẩm đã mainet & có lượng người dùng hàng tháng tối thiểu 10.000 chưa ?";;;
;"Sản phẩm do team tự phát triển chứ không phải fork từ các dự án khác ?";"Sản phẩm do team tự phát triển chứ không phải fork từ các dự án khác ?";;;
;"Sản phẩm có phải là một đột phá về công nghệ mới hoặc mô hình mới hoặc có bản quyền riêng ?";"Sản phẩm có phải là một đột phá về công nghệ mới hoặc mô hình mới hoặc có bản quyền riêng ?";;;
;"Sản phẩm đã được audit ?";"Sản phẩm đã được audit ?";;;
;"Sản phẩm đã được audit bởi 2 đơn vị trở lên ?";"Sản phẩm đã được audit bởi 2 đơn vị trở lên ?";;;
;"Sản phẩm có được audit bởi 2 đơn vị trở lên, trong đó có ít nhất 1 đơn vị Tier-1 (Trail of Bits, OpenZeppelin, Quantstamp, CertiK) không?";"Sản phẩm có được audit bởi 2 đơn vị trở lên, trong đó có ít nhất 1 đơn vị Tier-1 (Trail of Bits, OpenZeppelin, Quantstamp, CertiK) không?";;;
;"Sản phẩm không có lỗi nghiêm trọng hoăc các lỗi nghiêm trọng đã được sửa sau khi audit ?";"Sản phẩm không có lỗi nghiêm trọng hoăc các lỗi nghiêm trọng đã được sửa sau khi audit ?";;;
;"Số lượng Repos liên quan";"Số lượng Repos liên quan";;;
;"Số lượng pull request lớn (L/XL) >10 trong 6 tháng";"Số lượng pull request lớn (L/XL) >10 trong 6 tháng";;;
;"Sản phẩm có Github công khai ?";"Sản phẩm có Github công khai ?";;;
